nome_id,rank1930,rank1940,rank1950,rank1960,rank1970,rank1980,rank1990,rank2000,rank2010
1,1,1,1,1,1,1,1,1,1
2,5,7,6,6,6,3,3,2,2
3,4,4,4,4,4,6,6,5,3
4,220,247,289,336,456,431,127,9,4
5,528,586,649,602,571,400,68,3,5
6,10,9,9,10,14,41,57,26,6
7,628,765,800,789,801,551,213,13,7
8,2,2,2,2,2,2,2,4,8
9,504,607,737,637,509,188,97,39,9
10,168,224,281,422,610,802,812,105,10
11,234,273,333,393,411,318,105,29,11
12,55,36,18,9,7,8,7,19,12
13,25,44,70,139,249,389,266,91,13
14,306,221,222,297,375,377,162,57,14
15,419,496,604,645,655,324,48,10,15
16,365,431,597,713,663,331,117,32,16
17,337,299,142,49,11,9,11,12,17
18,295,272,306,363,385,165,8,7,18
19,19,16,12,8,9,18,34,35,19
20,193,143,117,110,80,49,25,21,20
21,141,129,108,85,67,38,40,42,21
22,806,1147,1429,1594,1745,1082,368,38,22
23,33,28,20,14,10,22,37,41,23
24,547,835,1194,1433,1381,395,90,17,24
25,420,444,533,626,612,240,24,8,25
26,127,153,182,216,237,263,225,58,26
27,485,742,1084,1314,1314,412,116,36,27
28,872,1306,1626,1924,1828,835,201,30,28
29,44,26,16,7,8,7,9,15,29
30,406,347,355,352,283,106,42,16,30
31,86,155,204,322,462,321,78,44,31
32,821,1170,1393,1306,1021,449,135,53,32
33,399,343,297,264,233,246,195,150,33
34,729,1217,1554,1811,1714,826,79,11,34
35,427,423,403,324,263,220,130,87,35
36,538,514,735,758,873,748,246,76,36
37,544,894,1158,1361,1285,366,41,18,37
38,777,1129,1428,1522,1144,764,326,89,38
39,6,5,5,5,5,5,5,20,39
40,824,1186,1386,1363,1321,809,249,78,40
41,3,3,3,3,3,4,4,23,41
42,620,843,1030,1119,1065,381,17,31,42
43,858,1277,1587,1729,1589,741,91,28,43
44,436,659,694,549,399,329,190,99,44
45,676,994,1328,1609,1814,1652,1061,165,45
46,849,1303,1648,1863,1306,439,217,67,46
47,751,1168,1533,1816,1898,914,121,51,47
48,860,1285,1633,1815,1112,537,549,228,48
49,607,717,835,653,363,73,21,27,49
50,0,1297,1620,1812,1702,866,167,45,50
51,231,270,336,467,598,548,87,34,51
52,45,57,98,150,253,334,305,189,52
53,0,0,1697,2019,2295,2235,594,75,53
54,240,245,277,246,114,24,20,43,54
55,865,1276,1635,1929,2185,2184,1228,279,55
56,398,521,688,712,554,80,13,24,56
57,50,51,52,65,110,215,317,329,57
58,0,0,1685,2012,2308,2161,1089,331,58
59,787,1156,1495,1642,1600,511,30,59,59
60,0,1324,1693,2020,2332,2003,718,175,60
61,0,0,0,2010,2340,2559,1916,295,61
62,356,491,729,806,1014,1066,585,220,62
63,161,187,233,298,304,288,166,88,63
64,0,0,0,0,0,2636,2673,1295,64
65,702,915,1040,893,508,48,10,22,65
66,0,0,0,2030,2290,2302,978,196,66
67,822,1254,1594,1774,1682,641,28,25,67
68,840,1251,1591,1809,1773,499,181,102,68
69,771,1135,1228,1241,1073,597,204,261,69
70,212,282,352,432,540,717,539,221,70
71,854,1278,1603,1916,1879,1122,763,271,71
72,872,1297,1624,1878,2150,1902,889,216,72
73,631,917,1141,1177,778,176,19,14,73
74,847,1270,1636,1800,1576,524,288,109,74
75,0,0,0,0,2385,2532,2451,1069,75
76,861,1305,1665,1880,1127,531,583,258,76
77,866,1311,1639,1850,1719,1029,140,6,77
78,0,0,1672,1995,2189,2001,1066,123,78
79,0,0,0,0,0,2662,2771,1234,79
80,846,1280,1557,1437,824,150,23,40,80
81,723,929,1035,652,255,116,65,60,81
82,874,1293,1611,1799,1714,621,261,148,82
83,484,451,486,421,448,440,161,116,83
84,833,1235,1396,1020,424,50,22,37,84
85,808,1248,1593,1851,2002,730,157,55,85
86,790,1028,1039,1204,1500,1035,497,163,86
87,874,1274,1478,1451,1274,1027,202,79,87
88,600,661,470,244,40,11,15,50,88
89,566,706,796,727,458,68,14,33,89
90,125,91,85,55,47,40,26,49,90
91,27,35,56,116,219,398,376,195,91
92,299,420,576,836,1078,1555,1444,830,92
93,23,33,45,76,139,273,318,200,93
94,855,1196,1294,1050,842,269,119,72,94
95,867,1319,1650,1936,2033,642,170,66,95
96,0,1315,1649,1940,2204,1934,1196,270,96
97,0,0,0,2019,2237,2337,644,93,97
98,70,75,103,94,77,74,80,104,98
99,689,895,1039,1287,1389,793,126,138,99
100,0,0,0,0,0,2667,2804,1586,100
101,874,1303,1620,1815,1931,1439,562,214,101
102,681,744,731,744,743,758,313,177,102
103,223,256,334,277,105,19,43,74,103
104,687,672,469,452,541,427,89,65,104
105,830,1103,1064,864,560,258,92,47,105
106,0,0,0,2035,2391,2619,2396,427,106
107,475,526,625,778,728,186,81,83,107
108,0,1320,1658,1832,1327,480,187,96,108
109,867,1298,1565,1624,1567,568,174,54,109
110,0,0,0,2043,2382,2503,1762,479,110
111,831,1176,1374,837,181,62,49,70,111
112,876,1299,1623,1863,1954,1258,454,169,112
113,826,1212,1432,1216,510,77,53,61,113
114,0,0,0,0,2363,2423,913,129,114
115,872,1298,1666,2008,2254,2092,1152,361,115
116,300,350,322,253,169,97,69,85,116
117,312,297,209,107,53,25,36,71,117
118,615,539,572,337,146,21,12,62,118
119,0,0,1695,2025,2366,2542,1992,547,119
120,700,840,1319,1498,1460,1226,491,164,120
121,580,749,911,993,1244,1297,272,110,121
122,0,1324,1671,1926,1530,214,58,69,122
123,0,0,0,0,2399,2311,1613,949,123
124,0,0,0,0,2377,2535,1172,131,124
125,385,510,653,584,591,347,178,82,125
126,164,239,323,407,570,879,733,388,126
127,742,1062,1288,1514,1763,1261,168,108,127
128,0,0,0,2027,2313,2078,561,160,128
129,98,202,341,551,918,368,120,80,129
130,735,728,569,558,772,877,307,154,130
131,0,0,0,0,0,0,2790,1662,131
132,0,0,1704,1960,2222,1962,231,86,132
133,875,1306,1661,1925,2234,2424,2477,1287,133
134,826,1187,1256,959,472,196,88,56,134
135,820,1210,1502,1679,1218,224,110,121,135
136,0,0,1685,1902,1638,867,290,137,136
137,142,195,246,309,337,475,507,334,137
138,0,1315,1659,1902,2041,1663,650,306,138
139,0,0,0,2041,2382,2555,2131,178,139
140,875,1195,1337,1152,1424,1083,446,130,140
141,0,0,1693,1998,2056,1623,691,206,141
142,852,1267,1581,1693,860,88,44,63,142
143,0,0,1693,1979,2140,1101,513,272,143
144,0,1326,1694,1994,2190,2089,241,73,144
145,58,62,69,97,153,266,176,135,145
146,846,1290,1552,1500,229,121,52,52,146
147,0,1315,1667,1908,1972,917,455,264,147
148,0,0,0,2043,2401,2646,2543,546,148
149,108,139,164,265,415,598,521,287,149
150,0,0,1690,1978,2156,1023,163,101,150
151,824,1143,1308,1430,687,198,179,98,151
152,675,929,950,761,409,92,75,114,152
153,871,1278,1579,1784,1893,1893,1377,286,153
154,804,1228,1542,1650,1058,459,107,146,154
